geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Las Vegas,driving,NA,Nevada,United States,2020-09-29,119.84
city,Las Vegas,driving,NA,Nevada,United States,2020-09-30,121.25
city,Las Vegas,driving,NA,Nevada,United States,2020-10-01,126.61
city,Las Vegas,driving,NA,Nevada,United States,2020-10-02,143.77
city,Las Vegas,driving,NA,Nevada,United States,2020-10-03,144.26
city,Las Vegas,driving,NA,Nevada,United States,2020-10-04,116.25
city,Las Vegas,driving,NA,Nevada,United States,2020-10-05,122.24
city,Las Vegas,driving,NA,Nevada,United States,2020-10-06,120.55
city,Las Vegas,driving,NA,Nevada,United States,2020-10-07,119.59
city,Las Vegas,driving,NA,Nevada,United States,2020-10-08,126.81
city,Las Vegas,driving,NA,Nevada,United States,2020-10-09,148.09
city,Las Vegas,driving,NA,Nevada,United States,2020-10-10,151.18
city,Las Vegas,driving,NA,Nevada,United States,2020-10-11,121.61
city,Las Vegas,driving,NA,Nevada,United States,2020-10-12,123.21
city,Las Vegas,driving,NA,Nevada,United States,2020-10-13,120.31
city,Las Vegas,driving,NA,Nevada,United States,2020-10-14,123.5
city,Las Vegas,driving,NA,Nevada,United States,2020-10-15,130.19
city,Las Vegas,driving,NA,Nevada,United States,2020-10-16,150.65
city,Las Vegas,driving,NA,Nevada,United States,2020-10-17,154.44
city,Las Vegas,driving,NA,Nevada,United States,2020-10-18,126.32
city,Las Vegas,driving,NA,Nevada,United States,2020-10-19,122.59
city,Las Vegas,driving,NA,Nevada,United States,2020-10-20,121.56
city,Las Vegas,driving,NA,Nevada,United States,2020-10-21,122.68
city,Las Vegas,driving,NA,Nevada,United States,2020-10-22,127.46
city,Las Vegas,driving,NA,Nevada,United States,2020-10-23,149.29
city,Las Vegas,driving,NA,Nevada,United States,2020-10-24,153.37
city,Las Vegas,driving,NA,Nevada,United States,2020-10-25,120.82
city,Las Vegas,driving,NA,Nevada,United States,2020-10-26,119.13
city,Las Vegas,driving,NA,Nevada,United States,2020-10-27,121.18
city,Las Vegas,driving,NA,Nevada,United States,2020-10-28,123.07
city,Las Vegas,driving,NA,Nevada,United States,2020-10-29,133.13
city,Las Vegas,driving,NA,Nevada,United States,2020-10-30,153.25
city,Las Vegas,driving,NA,Nevada,United States,2020-10-31,151.81
city,Las Vegas,driving,NA,Nevada,United States,2020-11-01,113.24
city,Las Vegas,driving,NA,Nevada,United States,2020-11-02,117.71
city,Las Vegas,driving,NA,Nevada,United States,2020-11-03,117.47
city,Las Vegas,driving,NA,Nevada,United States,2020-11-04,106.58
city,Las Vegas,driving,NA,Nevada,United States,2020-11-05,113.9
city,Las Vegas,driving,NA,Nevada,United States,2020-11-06,134.58
city,Las Vegas,driving,NA,Nevada,United States,2020-11-07,135.29
city,Las Vegas,driving,NA,Nevada,United States,2020-11-08,107.16
city,Las Vegas,driving,NA,Nevada,United States,2020-11-09,110.26
city,Las Vegas,driving,NA,Nevada,United States,2020-11-10,112.38
city,Las Vegas,driving,NA,Nevada,United States,2020-11-11,112.63
city,Las Vegas,driving,NA,Nevada,United States,2020-11-12,107.63
city,Las Vegas,driving,NA,Nevada,United States,2020-11-13,133.36
city,Las Vegas,driving,NA,Nevada,United States,2020-11-14,133.28
city,Las Vegas,driving,NA,Nevada,United States,2020-11-15,103.96
city,Las Vegas,driving,NA,Nevada,United States,2020-11-16,107.8
city,Las Vegas,driving,NA,Nevada,United States,2020-11-17,105.97
city,Las Vegas,driving,NA,Nevada,United States,2020-11-18,107.33
city,Las Vegas,driving,NA,Nevada,United States,2020-11-19,111.26
city,Las Vegas,driving,NA,Nevada,United States,2020-11-20,130.43
city,Las Vegas,driving,NA,Nevada,United States,2020-11-21,132.2
city,Las Vegas,driving,NA,Nevada,United States,2020-11-22,104.81
city,Las Vegas,driving,NA,Nevada,United States,2020-11-23,113.31
city,Las Vegas,driving,NA,Nevada,United States,2020-11-24,115.22
city,Las Vegas,driving,NA,Nevada,United States,2020-11-25,122.32
city,Las Vegas,driving,NA,Nevada,United States,2020-11-26,71.16
city,Las Vegas,driving,NA,Nevada,United States,2020-11-27,109.34
city,Las Vegas,driving,NA,Nevada,United States,2020-11-28,112.62
city,Las Vegas,driving,NA,Nevada,United States,2020-11-29,92.83
city,Las Vegas,driving,NA,Nevada,United States,2020-11-30,101.74
city,Las Vegas,driving,NA,Nevada,United States,2020-12-01,100.76
city,Las Vegas,driving,NA,Nevada,United States,2020-12-02,99.93
city,Las Vegas,driving,NA,Nevada,United States,2020-12-03,102.25
city,Las Vegas,driving,NA,Nevada,United States,2020-12-04,117.1
city,Las Vegas,driving,NA,Nevada,United States,2020-12-05,112.31
city,Las Vegas,driving,NA,Nevada,United States,2020-12-06,86.76
city,Las Vegas,driving,NA,Nevada,United States,2020-12-07,99.23
city,Las Vegas,driving,NA,Nevada,United States,2020-12-08,99.91
city,Las Vegas,driving,NA,Nevada,United States,2020-12-09,102.43
city,Las Vegas,driving,NA,Nevada,United States,2020-12-10,105.54
city,Las Vegas,driving,NA,Nevada,United States,2020-12-11,117.83
city,Las Vegas,driving,NA,Nevada,United States,2020-12-12,116.25
city,Las Vegas,driving,NA,Nevada,United States,2020-12-13,90.05
city,Las Vegas,driving,NA,Nevada,United States,2020-12-14,102.76
city,Las Vegas,driving,NA,Nevada,United States,2020-12-15,102.93
city,Las Vegas,driving,NA,Nevada,United States,2020-12-16,104.91
city,Las Vegas,driving,NA,Nevada,United States,2020-12-17,109.27
city,Las Vegas,driving,NA,Nevada,United States,2020-12-18,126.54
city,Las Vegas,driving,NA,Nevada,United States,2020-12-19,125.14
city,Las Vegas,driving,NA,Nevada,United States,2020-12-20,98.66
city,Las Vegas,driving,NA,Nevada,United States,2020-12-21,117.16
city,Las Vegas,driving,NA,Nevada,United States,2020-12-22,118.48
city,Las Vegas,driving,NA,Nevada,United States,2020-12-23,122.73
city,Las Vegas,driving,NA,Nevada,United States,2020-12-24,102.3
city,Las Vegas,driving,NA,Nevada,United States,2020-12-25,62.6
city,Las Vegas,driving,NA,Nevada,United States,2020-12-26,103.16
city,Las Vegas,driving,NA,Nevada,United States,2020-12-27,93.99
city,Las Vegas,driving,NA,Nevada,United States,2020-12-28,111.2
city,Las Vegas,driving,NA,Nevada,United States,2020-12-29,116.09
city,Las Vegas,driving,NA,Nevada,United States,2020-12-30,123.86
city,Las Vegas,driving,NA,Nevada,United States,2020-12-31,137.6
city,Las Vegas,driving,NA,Nevada,United States,2021-01-01,121.54
city,Las Vegas,driving,NA,Nevada,United States,2021-01-02,130.75
city,Las Vegas,driving,NA,Nevada,United States,2021-01-03,103.65
city,Las Vegas,driving,NA,Nevada,United States,2021-01-04,106.95
city,Las Vegas,driving,NA,Nevada,United States,2021-01-05,105.51
city,Las Vegas,driving,NA,Nevada,United States,2021-01-06,102.9
city,Las Vegas,driving,NA,Nevada,United States,2021-01-07,103.83
city,Las Vegas,driving,NA,Nevada,United States,2021-01-08,118.38
city,Las Vegas,driving,NA,Nevada,United States,2021-01-09,115.98
city,Las Vegas,driving,NA,Nevada,United States,2021-01-10,92.3
city,Las Vegas,driving,NA,Nevada,United States,2021-01-11,100.63
city,Las Vegas,driving,NA,Nevada,United States,2021-01-12,101.2
city,Las Vegas,driving,NA,Nevada,United States,2021-01-13,104.49
city,Las Vegas,driving,NA,Nevada,United States,2021-01-14,107.42
city,Las Vegas,driving,NA,Nevada,United States,2021-01-15,123
city,Las Vegas,driving,NA,Nevada,United States,2021-01-16,122.94
city,Las Vegas,driving,NA,Nevada,United States,2021-01-17,101.25
city,Las Vegas,driving,NA,Nevada,United States,2021-01-18,106.54
city,Las Vegas,driving,NA,Nevada,United States,2021-01-19,100.64
city,Las Vegas,driving,NA,Nevada,United States,2021-01-20,100.43
city,Las Vegas,driving,NA,Nevada,United States,2021-01-21,106.21
city,Las Vegas,driving,NA,Nevada,United States,2021-01-22,121.51
city,Las Vegas,driving,NA,Nevada,United States,2021-01-23,122.03
city,Las Vegas,driving,NA,Nevada,United States,2021-01-24,95.82
city,Las Vegas,driving,NA,Nevada,United States,2021-01-25,100.34
city,Las Vegas,driving,NA,Nevada,United States,2021-01-26,102.17
city,Las Vegas,driving,NA,Nevada,United States,2021-01-27,103.25
city,Las Vegas,driving,NA,Nevada,United States,2021-01-28,107.22
city,Las Vegas,driving,NA,Nevada,United States,2021-01-29,122.08
city,Las Vegas,driving,NA,Nevada,United States,2021-01-30,124.57
city,Las Vegas,driving,NA,Nevada,United States,2021-01-31,99.5
city,Las Vegas,driving,NA,Nevada,United States,2021-02-01,106.05
city,Las Vegas,driving,NA,Nevada,United States,2021-02-02,105.37
city,Las Vegas,driving,NA,Nevada,United States,2021-02-03,106.03
city,Las Vegas,driving,NA,Nevada,United States,2021-02-04,109.72
city,Las Vegas,driving,NA,Nevada,United States,2021-02-05,128.21
city,Las Vegas,driving,NA,Nevada,United States,2021-02-06,131.32
city,Las Vegas,driving,NA,Nevada,United States,2021-02-07,100.49
city,Las Vegas,driving,NA,Nevada,United States,2021-02-08,109.06
city,Las Vegas,driving,NA,Nevada,United States,2021-02-09,109.19
city,Las Vegas,driving,NA,Nevada,United States,2021-02-10,113.64
city,Las Vegas,driving,NA,Nevada,United States,2021-02-11,115.83
city,Las Vegas,driving,NA,Nevada,United States,2021-02-12,139.41
city,Las Vegas,driving,NA,Nevada,United States,2021-02-13,150.73
city,Las Vegas,driving,NA,Nevada,United States,2021-02-14,134.79
city,Las Vegas,driving,NA,Nevada,United States,2021-02-15,115.52
city,Las Vegas,driving,NA,Nevada,United States,2021-02-16,113.27
city,Las Vegas,driving,NA,Nevada,United States,2021-02-17,112.7
city,Las Vegas,driving,NA,Nevada,United States,2021-02-18,116.25
city,Las Vegas,driving,NA,Nevada,United States,2021-02-19,136.09
city,Las Vegas,driving,NA,Nevada,United States,2021-02-20,136.02
city,Las Vegas,driving,NA,Nevada,United States,2021-02-21,112.15
