geo_type,region,transportation_type,alternative_name,sub.region,country,date,relative_mobility
city,Madison,driving,NA,Wisconsin,United States,2021-01-26,81.11
city,Madison,driving,NA,Wisconsin,United States,2021-01-27,99.85
city,Madison,driving,NA,Wisconsin,United States,2021-01-28,101.81
city,Madison,driving,NA,Wisconsin,United States,2021-01-29,122.63
city,Madison,driving,NA,Wisconsin,United States,2021-01-30,108.49
city,Madison,driving,NA,Wisconsin,United States,2021-01-31,76.85
city,Madison,driving,NA,Wisconsin,United States,2021-02-01,95.78
city,Madison,driving,NA,Wisconsin,United States,2021-02-02,98.44
city,Madison,driving,NA,Wisconsin,United States,2021-02-03,103.64
city,Madison,driving,NA,Wisconsin,United States,2021-02-04,75.12
city,Madison,driving,NA,Wisconsin,United States,2021-02-05,116.42
city,Madison,driving,NA,Wisconsin,United States,2021-02-06,109.95
city,Madison,driving,NA,Wisconsin,United States,2021-02-07,82.17
city,Madison,driving,NA,Wisconsin,United States,2021-02-08,91.72
city,Madison,driving,NA,Wisconsin,United States,2021-02-09,95.56
city,Madison,driving,NA,Wisconsin,United States,2021-02-10,98.26
city,Madison,driving,NA,Wisconsin,United States,2021-02-11,103.59
city,Madison,driving,NA,Wisconsin,United States,2021-02-12,127.03
city,Madison,driving,NA,Wisconsin,United States,2021-02-13,111.67
city,Madison,driving,NA,Wisconsin,United States,2021-02-14,97.42
city,Madison,driving,NA,Wisconsin,United States,2021-02-15,88.85
city,Madison,driving,NA,Wisconsin,United States,2021-02-16,95.49
city,Madison,driving,NA,Wisconsin,United States,2021-02-17,100.07
city,Madison,driving,NA,Wisconsin,United States,2021-02-18,103.59
city,Madison,driving,NA,Wisconsin,United States,2021-02-19,124.19
city,Madison,driving,NA,Wisconsin,United States,2021-02-20,124.7
city,Madison,driving,NA,Wisconsin,United States,2021-02-21,88.67
city,Madison,driving,NA,Wisconsin,United States,2021-02-22,94.99
city,Madison,driving,NA,Wisconsin,United States,2021-02-23,100.41
city,Madison,driving,NA,Wisconsin,United States,2021-02-24,105.54
city,Madison,driving,NA,Wisconsin,United States,2021-02-25,110.24
city,Madison,driving,NA,Wisconsin,United States,2021-02-26,133.11
city,Madison,driving,NA,Wisconsin,United States,2021-02-27,128.67
city,Madison,driving,NA,Wisconsin,United States,2021-02-28,97.62
city,Madison,driving,NA,Wisconsin,United States,2021-03-01,100.55
