geo_type,region,transportation_type,alternative_name,sub.region,country,date,relative_mobility
city,Phoenix,driving,NA,Arizona,United States,2020-08-18,103.9
city,Phoenix,driving,NA,Arizona,United States,2020-08-19,105.16
city,Phoenix,driving,NA,Arizona,United States,2020-08-20,105.97
city,Phoenix,driving,NA,Arizona,United States,2020-08-21,122.39
city,Phoenix,driving,NA,Arizona,United States,2020-08-22,117.77
city,Phoenix,driving,NA,Arizona,United States,2020-08-23,87.51
city,Phoenix,driving,NA,Arizona,United States,2020-08-24,98.49
city,Phoenix,driving,NA,Arizona,United States,2020-08-25,100.83
city,Phoenix,driving,NA,Arizona,United States,2020-08-26,102.29
city,Phoenix,driving,NA,Arizona,United States,2020-08-27,104.59
city,Phoenix,driving,NA,Arizona,United States,2020-08-28,119.49
city,Phoenix,driving,NA,Arizona,United States,2020-08-29,114.1
city,Phoenix,driving,NA,Arizona,United States,2020-08-30,85.85
city,Phoenix,driving,NA,Arizona,United States,2020-08-31,100.24
city,Phoenix,driving,NA,Arizona,United States,2020-09-01,103.26
city,Phoenix,driving,NA,Arizona,United States,2020-09-02,105.27
city,Phoenix,driving,NA,Arizona,United States,2020-09-03,109.8
city,Phoenix,driving,NA,Arizona,United States,2020-09-04,127.03
city,Phoenix,driving,NA,Arizona,United States,2020-09-05,114.17
city,Phoenix,driving,NA,Arizona,United States,2020-09-06,88.96
city,Phoenix,driving,NA,Arizona,United States,2020-09-07,86.82
city,Phoenix,driving,NA,Arizona,United States,2020-09-08,101.46
city,Phoenix,driving,NA,Arizona,United States,2020-09-09,105.4
city,Phoenix,driving,NA,Arizona,United States,2020-09-10,109.07
city,Phoenix,driving,NA,Arizona,United States,2020-09-11,122.34
city,Phoenix,driving,NA,Arizona,United States,2020-09-12,121.95
city,Phoenix,driving,NA,Arizona,United States,2020-09-13,88.25
city,Phoenix,driving,NA,Arizona,United States,2020-09-14,103.31
city,Phoenix,driving,NA,Arizona,United States,2020-09-15,104.03
city,Phoenix,driving,NA,Arizona,United States,2020-09-16,106.16
city,Phoenix,driving,NA,Arizona,United States,2020-09-17,108.93
city,Phoenix,driving,NA,Arizona,United States,2020-09-18,127.26
city,Phoenix,driving,NA,Arizona,United States,2020-09-19,122.25
city,Phoenix,driving,NA,Arizona,United States,2020-09-20,89.29
city,Phoenix,driving,NA,Arizona,United States,2020-09-21,100.56
city,Phoenix,driving,NA,Arizona,United States,2020-09-22,102.39
city,Phoenix,driving,NA,Arizona,United States,2020-09-23,104.12
city,Phoenix,driving,NA,Arizona,United States,2020-09-24,106.45
city,Phoenix,driving,NA,Arizona,United States,2020-09-25,122.44
city,Phoenix,driving,NA,Arizona,United States,2020-09-26,121.16
city,Phoenix,driving,NA,Arizona,United States,2020-09-27,85.96
city,Phoenix,driving,NA,Arizona,United States,2020-09-28,97.22
city,Phoenix,driving,NA,Arizona,United States,2020-09-29,98.36
city,Phoenix,driving,NA,Arizona,United States,2020-09-30,101.96
city,Phoenix,driving,NA,Arizona,United States,2020-10-01,106.59
city,Phoenix,driving,NA,Arizona,United States,2020-10-02,120.98
city,Phoenix,driving,NA,Arizona,United States,2020-10-03,117.05
city,Phoenix,driving,NA,Arizona,United States,2020-10-04,84.54
city,Phoenix,driving,NA,Arizona,United States,2020-10-05,97.11
city,Phoenix,driving,NA,Arizona,United States,2020-10-06,98.9
city,Phoenix,driving,NA,Arizona,United States,2020-10-07,101.93
city,Phoenix,driving,NA,Arizona,United States,2020-10-08,106.02
city,Phoenix,driving,NA,Arizona,United States,2020-10-09,121.69
city,Phoenix,driving,NA,Arizona,United States,2020-10-10,117.39
city,Phoenix,driving,NA,Arizona,United States,2020-10-11,86.04
city,Phoenix,driving,NA,Arizona,United States,2020-10-12,98.01
city,Phoenix,driving,NA,Arizona,United States,2020-10-13,100.41
city,Phoenix,driving,NA,Arizona,United States,2020-10-14,103.82
city,Phoenix,driving,NA,Arizona,United States,2020-10-15,107.64
city,Phoenix,driving,NA,Arizona,United States,2020-10-16,125.59
city,Phoenix,driving,NA,Arizona,United States,2020-10-17,126.95
city,Phoenix,driving,NA,Arizona,United States,2020-10-18,90.79
city,Phoenix,driving,NA,Arizona,United States,2020-10-19,98.24
city,Phoenix,driving,NA,Arizona,United States,2020-10-20,100.98
city,Phoenix,driving,NA,Arizona,United States,2020-10-21,103.23
city,Phoenix,driving,NA,Arizona,United States,2020-10-22,110.78
city,Phoenix,driving,NA,Arizona,United States,2020-10-23,127.31
city,Phoenix,driving,NA,Arizona,United States,2020-10-24,127.93
city,Phoenix,driving,NA,Arizona,United States,2020-10-25,90.77
city,Phoenix,driving,NA,Arizona,United States,2020-10-26,99.23
city,Phoenix,driving,NA,Arizona,United States,2020-10-27,101.3
city,Phoenix,driving,NA,Arizona,United States,2020-10-28,103.19
city,Phoenix,driving,NA,Arizona,United States,2020-10-29,108.66
city,Phoenix,driving,NA,Arizona,United States,2020-10-30,126.47
city,Phoenix,driving,NA,Arizona,United States,2020-10-31,120.67
city,Phoenix,driving,NA,Arizona,United States,2020-11-01,82.13
city,Phoenix,driving,NA,Arizona,United States,2020-11-02,95.56
city,Phoenix,driving,NA,Arizona,United States,2020-11-03,97.1
city,Phoenix,driving,NA,Arizona,United States,2020-11-04,90.96
city,Phoenix,driving,NA,Arizona,United States,2020-11-05,97.31
city,Phoenix,driving,NA,Arizona,United States,2020-11-06,115.99
city,Phoenix,driving,NA,Arizona,United States,2020-11-07,115.56
city,Phoenix,driving,NA,Arizona,United States,2020-11-08,82.31
city,Phoenix,driving,NA,Arizona,United States,2020-11-09,90.74
city,Phoenix,driving,NA,Arizona,United States,2020-11-10,95.07
city,Phoenix,driving,NA,Arizona,United States,2020-11-11,100.18
city,Phoenix,driving,NA,Arizona,United States,2020-11-12,92.95
city,Phoenix,driving,NA,Arizona,United States,2020-11-13,117.04
city,Phoenix,driving,NA,Arizona,United States,2020-11-14,115.37
city,Phoenix,driving,NA,Arizona,United States,2020-11-15,80.9
city,Phoenix,driving,NA,Arizona,United States,2020-11-16,91.53
city,Phoenix,driving,NA,Arizona,United States,2020-11-17,93.07
city,Phoenix,driving,NA,Arizona,United States,2020-11-18,94.99
city,Phoenix,driving,NA,Arizona,United States,2020-11-19,98.37
city,Phoenix,driving,NA,Arizona,United States,2020-11-20,116.53
city,Phoenix,driving,NA,Arizona,United States,2020-11-21,111.87
city,Phoenix,driving,NA,Arizona,United States,2020-11-22,81.34
city,Phoenix,driving,NA,Arizona,United States,2020-11-23,97.31
city,Phoenix,driving,NA,Arizona,United States,2020-11-24,102.51
city,Phoenix,driving,NA,Arizona,United States,2020-11-25,109.34
city,Phoenix,driving,NA,Arizona,United States,2020-11-26,55.05
city,Phoenix,driving,NA,Arizona,United States,2020-11-27,93.57
city,Phoenix,driving,NA,Arizona,United States,2020-11-28,93.33
city,Phoenix,driving,NA,Arizona,United States,2020-11-29,73.63
city,Phoenix,driving,NA,Arizona,United States,2020-11-30,90.26
city,Phoenix,driving,NA,Arizona,United States,2020-12-01,91.65
city,Phoenix,driving,NA,Arizona,United States,2020-12-02,91.62
city,Phoenix,driving,NA,Arizona,United States,2020-12-03,95.36
city,Phoenix,driving,NA,Arizona,United States,2020-12-04,109.55
city,Phoenix,driving,NA,Arizona,United States,2020-12-05,105.14
city,Phoenix,driving,NA,Arizona,United States,2020-12-06,76.04
city,Phoenix,driving,NA,Arizona,United States,2020-12-07,90.39
city,Phoenix,driving,NA,Arizona,United States,2020-12-08,92.23
city,Phoenix,driving,NA,Arizona,United States,2020-12-09,94.05
city,Phoenix,driving,NA,Arizona,United States,2020-12-10,93.32
city,Phoenix,driving,NA,Arizona,United States,2020-12-11,112.73
city,Phoenix,driving,NA,Arizona,United States,2020-12-12,109.38
city,Phoenix,driving,NA,Arizona,United States,2020-12-13,78.53
city,Phoenix,driving,NA,Arizona,United States,2020-12-14,92.87
city,Phoenix,driving,NA,Arizona,United States,2020-12-15,95.45
city,Phoenix,driving,NA,Arizona,United States,2020-12-16,98.26
city,Phoenix,driving,NA,Arizona,United States,2020-12-17,101.93
city,Phoenix,driving,NA,Arizona,United States,2020-12-18,118.71
city,Phoenix,driving,NA,Arizona,United States,2020-12-19,109.45
city,Phoenix,driving,NA,Arizona,United States,2020-12-20,83.16
city,Phoenix,driving,NA,Arizona,United States,2020-12-21,106.12
city,Phoenix,driving,NA,Arizona,United States,2020-12-22,109.03
city,Phoenix,driving,NA,Arizona,United States,2020-12-23,113.07
city,Phoenix,driving,NA,Arizona,United States,2020-12-24,83.8
city,Phoenix,driving,NA,Arizona,United States,2020-12-25,44.96
city,Phoenix,driving,NA,Arizona,United States,2020-12-26,82.98
city,Phoenix,driving,NA,Arizona,United States,2020-12-27,74.96
city,Phoenix,driving,NA,Arizona,United States,2020-12-28,96.95
city,Phoenix,driving,NA,Arizona,United States,2020-12-29,99.85
city,Phoenix,driving,NA,Arizona,United States,2020-12-30,104.45
city,Phoenix,driving,NA,Arizona,United States,2020-12-31,102.82
city,Phoenix,driving,NA,Arizona,United States,2021-01-01,77.49
city,Phoenix,driving,NA,Arizona,United States,2021-01-02,93.93
city,Phoenix,driving,NA,Arizona,United States,2021-01-03,76.23
city,Phoenix,driving,NA,Arizona,United States,2021-01-04,93.93
city,Phoenix,driving,NA,Arizona,United States,2021-01-05,94.69
city,Phoenix,driving,NA,Arizona,United States,2021-01-06,92.34
city,Phoenix,driving,NA,Arizona,United States,2021-01-07,94.59
city,Phoenix,driving,NA,Arizona,United States,2021-01-08,108.01
city,Phoenix,driving,NA,Arizona,United States,2021-01-09,106.71
city,Phoenix,driving,NA,Arizona,United States,2021-01-10,80.51
city,Phoenix,driving,NA,Arizona,United States,2021-01-11,92.86
city,Phoenix,driving,NA,Arizona,United States,2021-01-12,93.16
city,Phoenix,driving,NA,Arizona,United States,2021-01-13,94.38
city,Phoenix,driving,NA,Arizona,United States,2021-01-14,97.61
city,Phoenix,driving,NA,Arizona,United States,2021-01-15,114.66
city,Phoenix,driving,NA,Arizona,United States,2021-01-16,112.35
city,Phoenix,driving,NA,Arizona,United States,2021-01-17,86.61
city,Phoenix,driving,NA,Arizona,United States,2021-01-18,97.71
city,Phoenix,driving,NA,Arizona,United States,2021-01-19,92.86
city,Phoenix,driving,NA,Arizona,United States,2021-01-20,93.25
city,Phoenix,driving,NA,Arizona,United States,2021-01-21,96.96
city,Phoenix,driving,NA,Arizona,United States,2021-01-22,111.82
city,Phoenix,driving,NA,Arizona,United States,2021-01-23,108.7
city,Phoenix,driving,NA,Arizona,United States,2021-01-24,75.81
city,Phoenix,driving,NA,Arizona,United States,2021-01-25,88.2
city,Phoenix,driving,NA,Arizona,United States,2021-01-26,93.36
city,Phoenix,driving,NA,Arizona,United States,2021-01-27,96.55
city,Phoenix,driving,NA,Arizona,United States,2021-01-28,99.31
city,Phoenix,driving,NA,Arizona,United States,2021-01-29,113.42
city,Phoenix,driving,NA,Arizona,United States,2021-01-30,113.97
city,Phoenix,driving,NA,Arizona,United States,2021-01-31,84.21
city,Phoenix,driving,NA,Arizona,United States,2021-02-01,95.43
city,Phoenix,driving,NA,Arizona,United States,2021-02-02,97.1
city,Phoenix,driving,NA,Arizona,United States,2021-02-03,99.54
city,Phoenix,driving,NA,Arizona,United States,2021-02-04,103.99
city,Phoenix,driving,NA,Arizona,United States,2021-02-05,119.94
city,Phoenix,driving,NA,Arizona,United States,2021-02-06,117.29
city,Phoenix,driving,NA,Arizona,United States,2021-02-07,80.33
city,Phoenix,driving,NA,Arizona,United States,2021-02-08,96.31
city,Phoenix,driving,NA,Arizona,United States,2021-02-09,98.32
city,Phoenix,driving,NA,Arizona,United States,2021-02-10,102.63
city,Phoenix,driving,NA,Arizona,United States,2021-02-11,108.29
city,Phoenix,driving,NA,Arizona,United States,2021-02-12,131.6
city,Phoenix,driving,NA,Arizona,United States,2021-02-13,131.53
city,Phoenix,driving,NA,Arizona,United States,2021-02-14,104.2
city,Phoenix,driving,NA,Arizona,United States,2021-02-15,100.23
city,Phoenix,driving,NA,Arizona,United States,2021-02-16,102.91
city,Phoenix,driving,NA,Arizona,United States,2021-02-17,104.77
city,Phoenix,driving,NA,Arizona,United States,2021-02-18,107.99
city,Phoenix,driving,NA,Arizona,United States,2021-02-19,125.17
city,Phoenix,driving,NA,Arizona,United States,2021-02-20,126.42
city,Phoenix,driving,NA,Arizona,United States,2021-02-21,92.17
city,Phoenix,driving,NA,Arizona,United States,2021-02-22,101.77
city,Phoenix,driving,NA,Arizona,United States,2021-02-23,104.04
city,Phoenix,driving,NA,Arizona,United States,2021-02-24,107.93
city,Phoenix,driving,NA,Arizona,United States,2021-02-25,111.3
